Rank (2017),City/Town,Russian,Federal District,Population (2017),Population (2010),Change%
89,Stary Oskol,Старый Оскол,"Central
",223360,221085,1.0290159893253725
90,Veliky Novgorod,Великий Новгород,"Northwest
",222594,218717,1.7726102680632965
91,Korolyov,Королёв,"Central
",221797,183402,20.934886206257293
92,Pskov,Псков,"Northwest
",209840,203279,3.2275837641861678
93,Mytishchi,Мытищи,"Central
",205397,173160,18.616886116886118
94,Biysk,Бийск,"Siberia
",203108,210115,-3.3348404445184783
95,Lyubertsy,Люберцы,"Central
",197705,172525,14.594986233879148
96,Prokopyevsk,Прокопьевск,"Siberia
",196406,210130,-6.531194974539571
97,Yuzhno-Sakhalinsk,Южно-Сахалинск,"Far East
",194882,181728,7.238290191935199
98,Balakovo,Балаково,"Volga
",191260,199690,-4.221543392258
99,Armavir,Армавир,"South
",190871,188832,1.0797957973224879
100,Rybinsk,Рыбинск,"Central
",190429,200771,-5.151142346255186
101,Severodvinsk,Северодвинск,"Northwest
",183996,192353,-4.344616408374187
102,Abakan,Абакан,"Siberia
",181709,165214,9.984020724635927
103,Petropavlovsk-Kamchatsky,Петропавловск-Камчатский,"Far East
",180454,179780,0.37490265880520635
104,Norilsk,Норильск,"Siberia
",178018,175365,1.5128446383257776
105,Syzran,Сызрань,"Volga
",173260,178750,-3.071328671328671
106,Volgodonsk,Волгодонск,"South
",171471,170841,0.36876393839886207
107,Ussuriysk,Уссурийск,"Far East
",170660,158004,8.009923799397484
108,Kamensk-Uralsky,Каменск-Уральский,"Ural
",169929,174689,-2.7248424342689006
109,Novocherkassk,Новочеркасск,"South
",168766,168746,0.011852132791295794
110,Zlatoust,Златоуст,"Ural
",167978,174962,-3.9917239171934473
111,Elektrostal,Электросталь,"Central
",158508,155196,2.134075620505683
112,Almetyevsk,Альметьевск,"Volga
",154262,146393,5.375257013655024
113,Krasnogorsk,Красногорск,"Central
",153393,116896,31.22176977826444
114,Salavat,Салават,"Volga
",153181,156095,-1.8668118773823634
115,Miass,Миасс,"Ural
",151856,151751,0.06919229527317777
116,Nakhodka,Находка,"Far East
",151420,159719,-5.196000475835687
117,Kopeysk,Копейск,"Ural
",147573,137601,7.247040355811368
118,Pyatigorsk,Пятигорск,"North Caucasus
",145836,142511,2.333153230276961
119,Rubtsovsk,Рубцовск,"Siberia
",145333,147002,-1.1353587026026857
120,Berezniki,Березники,"Volga
",145115,156466,-7.254611225441949
121,Kolomna,Коломна,"Central
",144125,144589,-0.3209096127644565
122,Maykop,Майкоп,"South
",143343,144249,-0.6280806106108188
123,Odintsovo,Одинцово,"Central
",141493,138930,1.8448139350752175
124,Khasavyurt,Хасавюрт,"North Caucasus
",140047,131187,6.753717975104241
125,Kovrov,Ковров,"Central
",138552,145214,-4.587711928601925
126,Kislovodsk,Кисловодск,"North Caucasus
",129861,128553,1.0174791720146554
127,Neftekamsk,Нефтекамск,"Volga
",126805,121733,4.166495527096186
128,Nefteyugansk,Нефтеюганск,"Ural
",126157,122855,2.6877212974644906
129,Novocheboksarsk,Новочебоксарск,"Volga
",126072,124097,1.591496974141196
130,Serpukhov,Серпухов,"Central
",125929,127041,-0.8753079714422903
131,Shchyolkovo,Щёлково,"Central
",125843,110411,13.976868246823232
132,Novomoskovsk,Новомосковск,"Central
",125647,131386,-4.3680453016303105
133,Bataysk,Батайск,"South
",124705,111843,11.50004917607718
134,Pervouralsk,Первоуральск,"Ural
",124447,124528,-0.06504561223178723
135,Domodedovo,Домодедово,"Central
",124285,96145,29.268292682926827
136,Derbent,Дербент,"North Caucasus
",123162,119200,3.323825503355705
137,Cherkessk,Черкесск,"North Caucasus
",122478,129069,-5.106570903935104
138,Orekhovo-Zuyevo,Орехово-Зуево,"Central
",119956,120670,-0.5916963619789508
